gcs,min_latency,mean_latency,num_shards,throughput,remote
-2,0.001524209976196289,0.0015513896942138672,1,250,1
-2,0.0010826587677001953,0.001131296157836914,1,250,0
0,0.002015829086303711,0.0021603584289550783,1,250,1
0,0.0016846656799316406,0.0017519950866699218,1,250,0
-1,0.0015420913696289062,0.0015633583068847656,1,250,1
-1,0.0012314319610595703,0.001247406005859375,1,250,0
-2,0.0014801025390625,0.0015267372131347657,1,500,1
-2,0.0011200904846191406,0.0011474609375,1,500,0
0,0.05565929412841797,0.062125349044799806,1,500,1
0,0.02963876724243164,0.04944314956665039,1,500,0
-1,0.0015499591827392578,0.0015852928161621093,1,500,1
-1,0.0011250972747802734,0.001179075241088867,1,500,0
-2,0.0014715194702148438,0.0015201568603515625,1,1000,1
-2,0.001117706298828125,0.001150035858154297,1,1000,0
0,0.02355360984802246,0.03531570434570312,1,1000,1
0,0.02999567985534668,0.03559517860412598,1,1000,0
-1,0.0014965534210205078,0.0015261650085449218,1,1000,1
-1,0.001153707504272461,0.0011783599853515624,1,1000,0
-2,0.0015406608581542969,0.0015847206115722657,1,1500,1
-2,0.0010886192321777344,0.0011090755462646485,1,1500,0
0,0.02692127227783203,0.03674898147583008,1,1500,1
0,0.02707362174987793,0.03777446746826172,1,1500,0
-1,0.0015642642974853516,0.001607656478881836,1,1500,1
-1,0.0011069774627685547,0.0011446475982666016,1,1500,0
-2,0.0015189647674560547,0.0015695571899414062,1,2000,1
-2,0.001116037368774414,0.001156187057495117,1,2000,0
0,0.022287845611572266,0.03876819610595703,1,2000,1
0,0.023110151290893555,0.04072866439819336,1,2000,0
-1,0.0015234947204589844,0.0015688896179199218,1,2000,1
-1,0.0011227130889892578,0.0011805057525634765,1,2000,0
-2,0.0014977455139160156,0.001575803756713867,1,2500,1
-2,0.0011219978332519531,0.001146411895751953,1,2500,0
0,0.03714251518249512,0.04910950660705567,1,2500,1
0,0.03264784812927246,0.045694923400878905,1,2500,0
-1,0.0015311241149902344,0.0015920639038085938,1,2500,1
-1,0.0011599063873291016,0.0012043476104736327,1,2500,0
-2,0.001516580581665039,0.0015619754791259765,4,250,1
-2,0.0010890960693359375,0.0011529922485351562,4,250,0
0,0.002064228057861328,0.00212249755859375,4,250,1
0,0.0016198158264160156,0.0016693115234375,4,250,0
-1,0.001529693603515625,0.00157318115234375,4,250,1
-1,0.0011208057403564453,0.0012197017669677735,4,250,0
-2,0.0015859603881835938,0.0016525745391845702,4,500,1
-2,0.0010709762573242188,0.0010971546173095704,4,500,0
0,0.02297496795654297,0.02997698783874512,4,500,1
0,0.022202253341674805,0.028431129455566407,4,500,0
-1,0.0016248226165771484,0.0016649723052978515,4,500,1
-1,0.0010979175567626953,0.0011526584625244141,4,500,0
-2,0.001575469970703125,0.0016142845153808594,4,1000,1
-2,0.0010638236999511719,0.001098489761352539,4,1000,0
0,0.010950803756713867,0.019507980346679686,4,1000,1
0,0.010329961776733398,0.015804243087768555,4,1000,0
-1,0.0014851093292236328,0.0015311241149902344,4,1000,1
-1,0.0010712146759033203,0.0011025428771972655,4,1000,0
-2,0.0015056133270263672,0.0015501976013183594,4,1500,1
-2,0.0010797977447509766,0.0011002540588378907,4,1500,0
0,0.016843318939208984,0.03349337577819824,4,1500,1
0,0.02136683464050293,0.02811431884765625,4,1500,0
-1,0.0015163421630859375,0.0016042232513427735,4,1500,1
-1,0.001150369644165039,0.0011608600616455078,4,1500,0
-2,0.001537322998046875,0.0015918731689453125,4,2000,1
-2,0.0010650157928466797,0.0010940074920654298,4,2000,0
0,0.02593994140625,0.04697117805480957,4,2000,1
0,0.014359474182128906,0.03911590576171875,4,2000,0
-1,0.001506805419921875,0.0015629768371582032,4,2000,1
-1,0.0011458396911621094,0.0012163162231445313,4,2000,0
-2,0.0015456676483154297,0.0015651226043701173,4,2500,1
-2,0.0010912418365478516,0.0011161327362060546,4,2500,0
0,0.020209789276123047,0.06731395721435547,4,2500,1
0,0.0048749446868896484,0.04484004974365234,4,2500,0
-1,0.0015163421630859375,0.0015519618988037109,4,2500,1
-1,0.001134634017944336,0.0011848926544189454,4,2500,0
-2,0.0016071796417236328,0.0016551017761230469,1,250,1
-2,0.0011267662048339844,0.0011654376983642578,1,250,0
0,0.0021047592163085938,0.0021800994873046875,1,250,1
0,0.001584768295288086,0.0016484737396240234,1,250,0
-1,0.0015499591827392578,0.00161285400390625,1,250,1
-1,0.0011217594146728516,0.0011398792266845703,1,250,0
-2,0.0014920234680175781,0.001524639129638672,1,500,1
-2,0.0011377334594726562,0.0011456966400146484,1,500,0
0,0.03981494903564453,0.05181617736816406,1,500,1
0,0.027440547943115234,0.04686837196350098,1,500,0
-1,0.001550436019897461,0.0015912532806396484,1,500,1
-1,0.0011374950408935547,0.0011734962463378906,1,500,0
-2,0.001516580581665039,0.0015720844268798829,1,1000,1
-2,0.0011436939239501953,0.001155853271484375,1,1000,0
0,0.0296785831451416,0.03776450157165527,1,1000,1
0,0.01656627655029297,0.038872146606445314,1,1000,0
-1,0.0015573501586914062,0.001595306396484375,1,1000,1
-1,0.0011298656463623047,0.001170969009399414,1,1000,0
-2,0.0015156269073486328,0.0015588760375976562,1,1500,1
-2,0.0011358261108398438,0.00118255615234375,1,1500,0
0,0.026559114456176758,0.03476243019104004,1,1500,1
0,0.022942066192626953,0.03283505439758301,1,1500,0
-1,0.0015006065368652344,0.0015460014343261718,1,1500,1
-1,0.001092672348022461,0.0011548042297363282,1,1500,0
-2,0.0015256404876708984,0.001566600799560547,1,2000,1
-2,0.001146078109741211,0.0011713504791259766,1,2000,0
0,0.021090269088745117,0.041790771484375,1,2000,1
0,0.03175926208496094,0.046059036254882814,1,2000,0
-1,0.0015170574188232422,0.0015798568725585937,1,2000,1
-1,0.0011136531829833984,0.001152801513671875,1,2000,0
-2,0.0015027523040771484,0.0015284061431884766,1,2500,1
-2,0.0010418891906738281,0.0011205196380615235,1,2500,0
0,0.03024888038635254,0.04262266159057617,1,2500,1
0,0.03450894355773926,0.044078731536865236,1,2500,0
-1,0.0014796257019042969,0.0015657901763916015,1,2500,1
-1,0.0010836124420166016,0.0011539459228515625,1,2500,0
-2,0.0014605522155761719,0.00149078369140625,4,250,1
-2,0.0010819435119628906,0.0011240482330322266,4,250,0
0,0.0020596981048583984,0.0021052837371826174,4,250,1
0,0.0015969276428222656,0.0016809463500976562,4,250,0
-1,0.001444101333618164,0.0014894485473632812,4,250,1
-1,0.0012125968933105469,0.001225423812866211,4,250,0
-2,0.0014617443084716797,0.0015013694763183593,4,500,1
-2,0.001110076904296875,0.00112152099609375,4,500,0
0,0.014188289642333984,0.01955447196960449,4,500,1
0,0.02414989471435547,0.028407812118530273,4,500,0
-1,0.0014576911926269531,0.0015120983123779296,4,500,1
-1,0.001102447509765625,0.0011433601379394532,4,500,0
-2,0.0015020370483398438,0.001527118682861328,4,1000,1
-2,0.001117706298828125,0.001142120361328125,4,1000,0
0,0.002122163772583008,0.019718217849731445,4,1000,1
0,0.013500213623046875,0.018210554122924806,4,1000,0
-1,0.0014812946319580078,0.0015439033508300782,4,1000,1
-1,0.0011219978332519531,0.0011754035949707031,4,1000,0
-2,0.001474142074584961,0.0015426158905029296,4,1500,1
-2,0.001127004623413086,0.0011454105377197265,4,1500,0
0,0.013916730880737305,0.022962474822998048,4,1500,1
0,0.022470951080322266,0.03233814239501953,4,1500,0
-1,0.0015606880187988281,0.0016041278839111328,4,1500,1
-1,0.00109100341796875,0.0011564731597900391,4,1500,0
-2,0.0015840530395507812,0.0016092777252197266,4,2000,1
-2,0.0011134147644042969,0.0011607646942138673,4,2000,0
0,0.0186920166015625,0.035091400146484375,4,2000,1
0,0.021069765090942383,0.031061792373657228,4,2000,0
-1,0.0015490055084228516,0.0015710353851318359,4,2000,1
-1,0.0011031627655029297,0.0011467456817626954,4,2000,0
-2,0.001461029052734375,0.0015160560607910157,4,2500,1
-2,0.0011556148529052734,0.0012122154235839843,4,2500,0
0,0.02023911476135254,0.05476169586181641,4,2500,1
0,0.027070999145507812,0.0406402587890625,4,2500,0
-1,0.0014994144439697266,0.0015570163726806641,4,2500,1
-1,0.0011339187622070312,0.0011798858642578125,4,2500,0
-2,0.0014684200286865234,0.0015180587768554687,1,250,1
-2,0.0011255741119384766,0.0011719703674316407,1,250,0
0,0.0019707679748535156,0.002046537399291992,1,250,1
0,0.001669168472290039,0.001698780059814453,1,250,0
-1,0.0015933513641357422,0.0016290664672851563,1,250,1
-1,0.001100301742553711,0.001152372360229492,1,250,0
-2,0.0015349388122558594,0.0015700340270996093,1,500,1
-2,0.0011165142059326172,0.0011661529541015625,1,500,0
0,0.0441279411315918,0.05021829605102539,1,500,1
0,0.03966379165649414,0.05022616386413574,1,500,0
-1,0.0016026496887207031,0.001623678207397461,1,500,1
-1,0.001093149185180664,0.001149463653564453,1,500,0
-2,0.0014955997467041016,0.0015613079071044923,1,1000,1
-2,0.0011343955993652344,0.0011608123779296875,1,1000,0
0,0.028708457946777344,0.035227632522583006,1,1000,1
0,0.02315211296081543,0.03048839569091797,1,1000,0
-1,0.0015745162963867188,0.0015860557556152343,1,1000,1
-1,0.00113677978515625,0.0011658191680908204,1,1000,0
-2,0.001474618911743164,0.0015062332153320313,1,1500,1
-2,0.0011069774627685547,0.0011603832244873047,1,1500,0
0,0.021111011505126953,0.02513408660888672,1,1500,1
0,0.025104522705078125,0.03239188194274902,1,1500,0
-1,0.0016021728515625,0.0016395092010498048,1,1500,1
-1,0.0011682510375976562,0.0011840343475341796,1,1500,0
-2,0.0014429092407226562,0.001554393768310547,1,2000,1
-2,0.0010631084442138672,0.0011426925659179688,1,2000,0
0,0.023375272750854492,0.04411096572875976,1,2000,1
0,0.03512239456176758,0.04744315147399902,1,2000,0
-1,0.0014994144439697266,0.0015427112579345704,1,2000,1
-1,0.0010833740234375,0.0012096881866455079,1,2000,0
-2,0.0014853477478027344,0.001533174514770508,1,2500,1
-2,0.0011348724365234375,0.001155710220336914,1,2500,0
0,0.03654074668884277,0.043964052200317384,1,2500,1
0,0.033331871032714844,0.04250359535217285,1,2500,0
