num_shards,num_raylets,target_throughput,throughput,lineage,queue,timed_out
1,32,208000,-1,False,False,False
1,32,211200,-1,False,False,False
1,32,214400,-1,False,False,False
1,32,217600,-1,False,False,False
1,32,220800,-1,False,False,False
1,32,224000,-1,False,False,False
1,32,227200,-1,False,False,False
1,32,230400,-1,False,False,False
1,32,233600,-1,False,False,False
1,32,236800,-1,False,False,False
1,32,240000,-1,False,False,False
1,32,243200,-1,False,False,False
1,32,246400,-1,False,False,False
1,32,249600,-1,False,False,False
1,32,252800,-1,False,False,False
2,32,16000,-1,False,False,False
2,32,19200,-1,False,False,False
2,32,22400,-1,False,False,False
2,32,25600,-1,False,False,False
2,32,28800,-1,False,False,False
2,32,32000,-1,False,False,False
2,32,35200,-1,False,False,False
2,32,38400,-1,False,False,False
2,32,41600,-1,False,False,False
2,32,44800,-1,False,False,False
2,32,48000,-1,False,False,False
2,32,51200,-1,False,False,False
2,32,54400,-1,False,False,False
2,32,57600,-1,False,False,False
2,32,60800,-1,False,False,False
2,32,64000,-1,False,False,False
2,32,67200,-1,False,False,False
2,32,70400,-1,False,False,False
2,32,73600,-1,False,False,False
2,32,76800,-1,False,False,False
2,32,80000,-1,False,False,False
2,32,83200,-1,False,False,False
2,32,86400,-1,False,False,False
2,32,89600,-1,False,False,False
2,32,92800,92487.77307266917,False,False,False
2,32,96000,95521.13918991183,False,False,False
2,32,99200,98896.43546450655,False,False,False
2,32,102400,101887.81696542028,False,False,False
2,32,105600,105278.36667480951,False,False,False
2,32,108800,108229.27249918031,False,False,False
2,32,112000,111631.04991317286,False,False,False
2,32,115200,114572.14818154558,False,False,False
2,32,118400,117939.64083484531,False,False,False
2,32,121600,120849.06789741045,False,False,False
2,32,124800,124286.49056432524,False,False,False
2,32,128000,127231.44028383118,False,False,False
2,32,131200,130641.80608371372,False,False,False
2,32,134400,133581.45305167467,False,False,False
2,32,137600,136995.865109602,False,False,False
2,32,140800,139853.48814745442,False,False,False
2,32,144000,143375.0440470751,False,False,False
2,32,147200,146302.2880022572,False,False,False
2,32,150400,149588.45215332787,False,False,False
2,32,153600,152331.4755509542,False,False,False
2,32,156800,155475.1062698581,False,False,False
2,32,160000,158928.25838638842,False,False,False
2,32,163200,162421.47235669504,False,False,False
2,32,166400,164822.415145325,False,False,False
2,32,169600,168760.76943560995,False,False,False
2,32,172800,169893.6760130156,False,False,False
2,32,176000,175056.21800842203,False,False,False
2,32,179200,174982.65106393068,False,False,False
2,32,182400,179397.90145177336,False,False,False
2,32,185600,181534.47267791393,False,False,False
2,32,188800,185658.215447429,False,False,False
2,32,192000,184918.90392164318,False,False,False
2,32,195200,189669.8848792937,False,False,False
2,32,198400,192130.83012966948,False,False,False
2,32,201600,187695.4096922786,False,False,False
2,32,204800,189767.3035804195,False,False,False
2,32,208000,-1,False,False,False
2,32,211200,-1,False,False,False
2,32,214400,-1,False,False,False
2,32,217600,-1,False,False,False
2,32,220800,-1,False,False,False
2,32,224000,-1,False,False,False
2,32,227200,-1,False,False,False
2,32,230400,-1,False,False,False
2,32,233600,-1,False,False,False
2,32,236800,-1,False,False,False
2,32,240000,-1,False,False,False
2,32,243200,-1,False,False,False
2,32,246400,-1,False,False,False
2,32,249600,-1,False,False,False
2,32,252800,-1,False,False,False
4,32,16000,-1,False,False,False
4,32,19200,-1,False,False,False
4,32,22400,-1,False,False,False
4,32,25600,-1,False,False,False
4,32,28800,-1,False,False,False
4,32,32000,-1,False,False,False
4,32,35200,-1,False,False,False
4,32,38400,-1,False,False,False
4,32,41600,-1,False,False,False
4,32,44800,-1,False,False,False
4,32,48000,-1,False,False,False
4,32,51200,-1,False,False,False
4,32,54400,-1,False,False,False
4,32,57600,-1,False,False,False
4,32,60800,-1,False,False,False
4,32,64000,-1,False,False,False
4,32,67200,-1,False,False,False
4,32,70400,-1,False,False,False
4,32,73600,-1,False,False,False
4,32,76800,-1,False,False,False
4,32,80000,-1,False,False,False
4,32,83200,-1,False,False,False
4,32,86400,-1,False,False,False
4,32,89600,-1,False,False,False
4,32,92800,-1,False,False,False
4,32,96000,-1,False,False,False
4,32,99200,-1,False,False,False
4,32,102400,-1,False,False,False
4,32,105600,-1,False,False,False
4,32,108800,-1,False,False,False
4,32,112000,-1,False,False,False
4,32,115200,-1,False,False,False
4,32,118400,-1,False,False,False
4,32,121600,-1,False,False,False
4,32,124800,-1,False,False,False
4,32,128000,-1,False,False,False
4,32,131200,-1,False,False,False
4,32,134400,-1,False,False,False
4,32,137600,-1,False,False,False
4,32,140800,-1,False,False,False
4,32,144000,-1,False,False,False
4,32,147200,-1,False,False,False
4,32,150400,-1,False,False,False
4,32,153600,-1,False,False,False
4,32,156800,-1,False,False,False
4,32,160000,-1,False,False,False
4,32,163200,-1,False,False,False
4,32,166400,-1,False,False,False
4,32,169600,-1,False,False,False
4,32,172800,-1,False,False,False
4,32,176000,-1,False,False,False
4,32,179200,-1,False,False,False
4,32,182400,-1,False,False,False
4,32,185600,-1,False,False,False
4,32,188800,187841.68740396606,False,False,False
4,32,192000,190495.49294577836,False,False,False
4,32,195200,194129.9696358803,False,False,False
4,32,198400,196696.26443612474,False,False,False
4,32,201600,200395.1962549903,False,False,False
4,32,204800,202777.1207150869,False,False,False
4,32,208000,-1,False,False,False
4,32,211200,-1,False,False,False
4,32,214400,-1,False,False,False
4,32,217600,-1,False,False,False
4,32,220800,-1,False,False,False
4,32,224000,-1,False,False,False
4,32,227200,-1,False,False,False
4,32,230400,-1,False,False,False
4,32,233600,-1,False,False,False
4,32,236800,-1,False,False,False
4,32,240000,-1,False,False,False
4,32,243200,-1,False,False,False
4,32,246400,-1,False,False,False
4,32,249600,-1,False,False,False
4,32,252800,-1,False,False,False
8,32,16000,-1,False,False,False
8,32,19200,-1,False,False,False
8,32,22400,-1,False,False,False
8,32,25600,-1,False,False,False
8,32,28800,-1,False,False,False
8,32,32000,-1,False,False,False
8,32,35200,-1,False,False,False
8,32,38400,-1,False,False,False
8,32,41600,-1,False,False,False
8,32,44800,-1,False,False,False
8,32,48000,-1,False,False,False
8,32,51200,-1,False,False,False
8,32,54400,-1,False,False,False
8,32,57600,-1,False,False,False
8,32,60800,-1,False,False,False
8,32,64000,-1,False,False,False
8,32,67200,-1,False,False,False
8,32,70400,-1,False,False,False
8,32,73600,-1,False,False,False
8,32,76800,-1,False,False,False
8,32,80000,-1,False,False,False
8,32,83200,-1,False,False,False
8,32,86400,-1,False,False,False
8,32,89600,-1,False,False,False
8,32,92800,-1,False,False,False
8,32,96000,-1,False,False,False
8,32,99200,-1,False,False,False
8,32,102400,-1,False,False,False
8,32,105600,-1,False,False,False
8,32,108800,-1,False,False,False
8,32,112000,-1,False,False,False
8,32,115200,-1,False,False,False
8,32,118400,-1,False,False,False
8,32,121600,-1,False,False,False
8,32,124800,-1,False,False,False
8,32,128000,-1,False,False,False
8,32,131200,-1,False,False,False
8,32,134400,-1,False,False,False
8,32,137600,-1,False,False,False
8,32,140800,-1,False,False,False
8,32,144000,-1,False,False,False
8,32,147200,-1,False,False,False
8,32,150400,-1,False,False,False
8,32,153600,-1,False,False,False
8,32,156800,-1,False,False,False
8,32,160000,-1,False,False,False
8,32,163200,-1,False,False,False
8,32,166400,-1,False,False,False
8,32,169600,-1,False,False,False
8,32,172800,-1,False,False,False
8,32,176000,-1,False,False,False
8,32,179200,-1,False,False,False
8,32,182400,-1,False,False,False
8,32,185600,-1,False,False,False
8,32,188800,187793.51758610355,False,False,False
8,32,192000,190450.73424387185,False,False,False
8,32,195200,194059.18466112542,False,False,False
8,32,198400,191838.60346984243,False,False,False
8,32,201600,200380.42267561844,False,False,False
8,32,204800,-1,False,False,False
8,32,208000,-1,False,False,False
8,32,211200,-1,False,False,False
8,32,214400,-1,False,False,False
8,32,217600,-1,False,False,False
8,32,220800,-1,False,False,False
8,32,224000,-1,False,False,False
8,32,227200,-1,False,False,False
8,32,230400,-1,False,False,False
8,32,233600,-1,False,False,False
8,32,236800,-1,False,False,False
8,32,240000,-1,False,False,False
8,32,243200,-1,False,False,False
8,32,246400,-1,False,False,False
8,32,249600,-1,False,False,False
8,32,252800,-1,False,False,False
16,32,16000,-1,False,False,False
16,32,19200,-1,False,False,False
16,32,22400,-1,False,False,False
16,32,25600,-1,False,False,False
16,32,28800,-1,False,False,False
16,32,32000,-1,False,False,False
16,32,35200,-1,False,False,False
16,32,38400,-1,False,False,False
16,32,41600,-1,False,False,False
16,32,44800,-1,False,False,False
16,32,48000,-1,False,False,False
16,32,51200,-1,False,False,False
16,32,54400,-1,False,False,False
16,32,57600,-1,False,False,False
16,32,60800,-1,False,False,False
16,32,64000,-1,False,False,False
16,32,67200,-1,False,False,False
16,32,70400,-1,False,False,False
16,32,73600,-1,False,False,False
16,32,76800,-1,False,False,False
16,32,80000,-1,False,False,False
16,32,83200,-1,False,False,False
16,32,86400,-1,False,False,False
16,32,89600,-1,False,False,False
16,32,92800,-1,False,False,False
16,32,96000,-1,False,False,False
16,32,99200,-1,False,False,False
16,32,102400,-1,False,False,False
16,32,105600,-1,False,False,False
16,32,108800,-1,False,False,False
16,32,112000,-1,False,False,False
16,32,115200,-1,False,False,False
16,32,118400,-1,False,False,False
16,32,121600,-1,False,False,False
16,32,124800,-1,False,False,False
16,32,128000,-1,False,False,False
16,32,131200,-1,False,False,False
16,32,134400,-1,False,False,False
16,32,137600,-1,False,False,False
16,32,140800,-1,False,False,False
16,32,144000,-1,False,False,False
16,32,147200,-1,False,False,False
16,32,150400,-1,False,False,False
16,32,153600,-1,False,False,False
16,32,156800,-1,False,False,False
16,32,160000,-1,False,False,False
16,32,163200,-1,False,False,False
16,32,166400,-1,False,False,False
16,32,169600,-1,False,False,False
16,32,172800,-1,False,False,False
16,32,176000,-1,False,False,False
16,32,179200,-1,False,False,False
16,32,182400,-1,False,False,False
16,32,185600,-1,False,False,False
16,32,188800,187771.51977114167,False,False,False
16,32,192000,190483.8617604466,False,False,False
16,32,195200,194092.6560911238,False,False,False
16,32,198400,196723.34333372276,False,False,False
16,32,201600,-1,False,False,False
16,32,204800,-1,False,False,False
16,32,208000,-1,False,False,False
16,32,211200,-1,False,False,False
16,32,214400,-1,False,False,False
16,32,217600,-1,False,False,False
16,32,220800,-1,False,False,False
16,32,224000,-1,False,False,False
16,32,227200,-1,False,False,False
16,32,230400,-1,False,False,False
16,32,233600,-1,False,False,False
16,32,236800,-1,False,False,False
16,32,240000,-1,False,False,False
16,32,243200,-1,False,False,False
16,32,246400,-1,False,False,False
