num_shards,num_raylets,target_throughput,throughput,lineage,queue,timed_out
8,32,19200,-1,False,False,False
8,32,22400,-1,False,False,False
8,32,25600,-1,False,False,False
8,32,28800,-1,False,False,False
8,32,32000,-1,False,False,False
8,32,35200,-1,False,False,False
8,32,38400,-1,False,False,False
8,32,41600,-1,False,False,False
8,32,44800,-1,False,False,False
8,32,48000,-1,False,False,False
8,32,51200,-1,False,False,False
8,32,54400,-1,False,False,False
8,32,57600,-1,False,False,False
8,32,60800,-1,False,False,False
8,32,64000,-1,False,False,False
8,32,67200,-1,False,False,False
8,32,70400,-1,False,False,False
8,32,73600,-1,False,False,False
8,32,76800,-1,False,False,False
8,32,80000,-1,False,False,False
8,32,83200,-1,False,False,False
8,32,86400,-1,False,False,False
8,32,89600,89197.62147999779,False,False,False
8,32,92800,92500.12688318129,False,False,False
8,32,96000,95551.87935537194,False,False,False
8,32,99200,98905.54824675882,False,False,False
8,32,102400,101915.85034836933,False,False,False
8,32,105600,105275.01895956373,False,False,False
8,32,108800,108226.58969920829,False,False,False
8,32,112000,111644.21022058335,False,False,False
8,32,115200,114592.07330734907,False,False,False
8,32,118400,117954.37097815286,False,False,False
8,32,121600,120902.65454575342,False,False,False
8,32,124800,124345.7723471838,False,False,False
8,32,128000,127225.22932643167,False,False,False
8,32,131200,130634.24444404562,False,False,False
8,32,134400,130851.96846280216,True,False,False
8,32,137600,-1,False,False,False
8,32,140800,-1,False,False,False
8,32,144000,-1,False,False,False
8,32,147200,-1,False,False,False
8,32,150400,-1,False,False,False
8,32,153600,-1,False,False,False
8,32,156800,-1,False,False,False
8,32,160000,-1,False,False,False
8,32,163200,-1,False,False,False
8,32,166400,-1,False,False,False
8,32,169600,-1,False,False,False
8,32,172800,-1,False,False,False
8,32,176000,-1,False,False,False
8,32,179200,-1,False,False,False
8,32,182400,-1,False,False,False
8,32,185600,-1,False,False,False
8,32,188800,-1,False,False,False
8,32,192000,-1,False,False,False
8,32,195200,-1,False,False,False
8,32,198400,-1,False,False,False
