gcs,min_latency,num_shards,throughput,remote
0,0.024410486221313477,1,2000,0
0,0.005288839340209961,1,2000,0
0,0.02611827850341797,1,2000,0
0,0.021221399307250977,1,2000,0
0,0.0189361572265625,1,2000,0
0,0.027554988861083984,1,2000,0
0,0.030689716339111328,1,2000,0
0,0.020679950714111328,1,2000,0
0,0.002031564712524414,1,2000,0
0,0.028215885162353516,1,2000,0
-1,0.0012791156768798828,1,2000,0
-1,0.0013892650604248047,1,2000,0
-1,0.0013706684112548828,1,2000,0
-1,0.001361846923828125,1,2000,0
-1,0.001321554183959961,1,2000,0
-1,0.00125885009765625,1,2000,0
-1,0.0013811588287353516,1,2000,0
-1,0.0012784004211425781,1,2000,0
-1,0.001275777816772461,1,2000,0
-1,0.0012645721435546875,1,2000,0
0,0.01670670509338379,2,2000,0
0,0.023545265197753906,2,2000,0
0,0.014615774154663086,2,2000,0
0,0.01756453514099121,2,2000,0
0,0.027788877487182617,2,2000,0
0,0.0218656063079834,2,2000,0
0,0.018690824508666992,2,2000,0
0,0.015311479568481445,2,2000,0
0,0.022403240203857422,2,2000,0
0,0.016535520553588867,2,2000,0
-1,0.001310110092163086,2,2000,0
-1,0.0013132095336914062,2,2000,0
-1,0.001268625259399414,2,2000,0
-1,0.001241445541381836,2,2000,0
-1,0.0012464523315429688,2,2000,0
-1,0.0013232231140136719,2,2000,0
-1,0.001302957534790039,2,2000,0
-1,0.0013194084167480469,2,2000,0
-1,0.0013022422790527344,2,2000,0
-1,0.0012607574462890625,2,2000,0
0,0.015240669250488281,4,2000,0
0,0.003313779830932617,4,2000,0
0,0.007625579833984375,4,2000,0
0,0.004224300384521484,4,2000,0
0,0.007157325744628906,4,2000,0
0,0.005051612854003906,4,2000,0
0,0.003620147705078125,4,2000,0
0,0.0038909912109375,4,2000,0
0,0.005585193634033203,4,2000,0
0,0.004000186920166016,4,2000,0
-1,0.0012650489807128906,4,2000,0
-1,0.0013155937194824219,4,2000,0
-1,0.0013506412506103516,4,2000,0
-1,0.0013093948364257812,4,2000,0
-1,0.001252889633178711,4,2000,0
-1,0.0012905597686767578,4,2000,0
-1,0.0012753009796142578,4,2000,0
-1,0.0013093948364257812,4,2000,0
-1,0.001287221908569336,4,2000,0
-1,0.0013692378997802734,4,2000,0
0,0.0019063949584960938,16,2000,0
0,0.0018825531005859375,16,2000,0
0,0.0019195079803466797,16,2000,0
0,0.0018932819366455078,16,2000,0
0,0.0019118785858154297,16,2000,0
0,0.0018579959869384766,16,2000,0
0,0.0018091201782226562,16,2000,0
0,0.0019106864929199219,16,2000,0
0,0.0018620491027832031,16,2000,0
0,0.0018086433410644531,16,2000,0
-1,0.001299142837524414,16,2000,0
-1,0.0013115406036376953,16,2000,0
-1,0.0013470649719238281,16,2000,0
-1,0.0013308525085449219,16,2000,0
-1,0.001237630844116211,16,2000,0
-1,0.0013287067413330078,16,2000,0
-1,0.0013010501861572266,16,2000,0
-1,0.0013034343719482422,16,2000,0
-1,0.0012600421905517578,16,2000,0
-1,0.0012769699096679688,16,2000,0
0,0.02472400665283203,1,2000,1
0,0.029328584671020508,1,2000,1
0,0.03140902519226074,1,2000,1
0,0.029088497161865234,1,2000,1
0,0.024623632431030273,1,2000,1
0,0.02228689193725586,1,2000,1
0,0.02761530876159668,1,2000,1
0,0.0330660343170166,1,2000,1
0,0.0027039051055908203,1,2000,1
0,0.03000164031982422,1,2000,1
-1,0.0017497539520263672,1,2000,1
-1,0.0017764568328857422,1,2000,1
-1,0.0016601085662841797,1,2000,1
-1,0.0016274452209472656,1,2000,1
-1,0.0016715526580810547,1,2000,1
-1,0.0016551017761230469,1,2000,1
-1,0.00171661376953125,1,2000,1
-1,0.0017621517181396484,1,2000,1
-1,0.0017142295837402344,1,2000,1
-1,0.0015270709991455078,1,2000,1
0,0.02148580551147461,2,2000,1
0,0.02315831184387207,2,2000,1
0,0.029276132583618164,2,2000,1
0,0.018604278564453125,2,2000,1
0,0.02672433853149414,2,2000,1
0,0.021535634994506836,2,2000,1
0,0.002503633499145508,2,2000,1
0,0.022850990295410156,2,2000,1
0,0.02447962760925293,2,2000,1
0,0.02474665641784668,2,2000,1
-1,0.0018124580383300781,2,2000,1
-1,0.0017609596252441406,2,2000,1
-1,0.001783132553100586,2,2000,1
-1,0.0019130706787109375,2,2000,1
-1,0.0017743110656738281,2,2000,1
-1,0.0017597675323486328,2,2000,1
-1,0.001817941665649414,2,2000,1
-1,0.0015950202941894531,2,2000,1
-1,0.001748800277709961,2,2000,1
-1,0.0017406940460205078,2,2000,1
0,0.00912165641784668,4,2000,1
0,0.005303621292114258,4,2000,1
0,0.00727534294128418,4,2000,1
0,0.007471323013305664,4,2000,1
0,0.007962226867675781,4,2000,1
0,0.01192784309387207,4,2000,1
0,0.00405573844909668,4,2000,1
0,0.0062122344970703125,4,2000,1
0,0.00579380989074707,4,2000,1
0,0.004258155822753906,4,2000,1
-1,0.0017359256744384766,4,2000,1
-1,0.0017232894897460938,4,2000,1
-1,0.001589059829711914,4,2000,1
-1,0.0017461776733398438,4,2000,1
-1,0.0016415119171142578,4,2000,1
-1,0.0015969276428222656,4,2000,1
-1,0.0017006397247314453,4,2000,1
-1,0.0017211437225341797,4,2000,1
-1,0.0017285346984863281,4,2000,1
-1,0.0018050670623779297,4,2000,1
0,0.0022058486938476562,16,2000,1
0,0.0019211769104003906,16,2000,1
0,0.0019140243530273438,16,2000,1
0,0.0019333362579345703,16,2000,1
0,0.0019445419311523438,16,2000,1
0,0.0019288063049316406,16,2000,1
0,0.001954793930053711,16,2000,1
0,0.0019788742065429688,16,2000,1
0,0.0020322799682617188,16,2000,1
0,0.0020656585693359375,16,2000,1
-1,0.0016028881072998047,16,2000,1
-1,0.0015594959259033203,16,2000,1
-1,0.0014986991882324219,16,2000,1
-1,0.001603841781616211,16,2000,1
-1,0.001558065414428711,16,2000,1
-1,0.0014865398406982422,16,2000,1
-1,0.0016179084777832031,16,2000,1
-1,0.0014917850494384766,16,2000,1
-1,0.0015001296997070312,16,2000,1
-1,0.0015490055084228516,16,2000,1
